timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2015-04-08_22.03.07,14-15-92-00-12-91-c3-a3,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c6-89,11,100,-78,1,1,14-15-92-00-12-91-bc-60,1,1,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c0-dc,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,1,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-b0-1f,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-b5-f1,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-b5-f1,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,1,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c5-40,11,100,-65,1,1,14-15-92-00-12-91-bc-60,1,1,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c6-ba,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-cb-08,11,100,-75,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c7-aa,11,100,-69,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-b3-1c,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c8-c8,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c6-89,11,100,-79,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-cc-ed,11,100,-72,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-bc-48,11,100,-71,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c0-dc,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-cd-29,11,100,-58,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c5-40,11,100,-65,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-b0-1f,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c6-ba,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,2,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c8-c8,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c0-dc,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c5-40,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-cd-29,11,100,-59,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-bc-48,11,100,-71,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c6-89,11,100,-78,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-cc-ed,11,100,-72,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.07,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-25,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-25,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-56,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-56,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,5,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-55,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-54,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-59,1,1,14-15-92-00-12-91-bc-60,1,5,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,3,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,5,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c2-86,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-20,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-61,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-20,11,100,-61,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c7-aa,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c7-aa,11,100,-59,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-61,11,100,-66,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-ba,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cd-29,11,100,-59,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-ba,11,100,-56,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cd-29,11,100,-55,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c3-a3,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c3-a3,11,100,-59,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-48,11,100,-71,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-1c,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c0-dc,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cb-08,11,100,-75,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b0-1f,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-89,11,100,-79,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cb-08,11,100,-65,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b5-f1,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c8-c8,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c0-dc,11,100,-57,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-48,11,100,-64,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c5-40,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-89,11,100,-66,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c8-c8,11,100,-65,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c9-73,11,100,-72,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b5-f1,11,100,-63,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b0-1f,11,100,-60,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-ed,11,100,-72,1,1,14-15-92-00-12-91-bc-60,1,4,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-1c,11,100,-63,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c5-40,11,100,-62,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-ed,11,100,-64,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-58,1,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-56,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-54,1,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-54,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-58,1,1,14-15-92-00-12-91-bc-60,1,8,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,8,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-25,11,100,-65,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-25,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c2-86,11,100,-58,0,1,14-15-92-00-12-91-bc-60,1,6,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c2-86,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-20,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-61,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c7-aa,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c7-aa,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-ba,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-ba,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cd-29,11,100,-59,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cb-08,11,100,-75,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cd-29,11,100,-58,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c3-a3,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c0-dc,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cb-08,11,100,-75,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-1c,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c5-40,11,100,-65,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-48,11,100,-71,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b0-1f,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-ed,11,100,-72,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c8-c8,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b5-f1,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c0-dc,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-1c,11,100,-66,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-89,11,100,-79,1,1,14-15-92-00-12-91-bc-60,1,7,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b0-1f,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c8-c8,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b5-f1,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-ed,11,100,-72,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-48,11,100,-71,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c9-73,11,100,-74,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c3-a3,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-89,11,100,-78,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c5-40,11,100,-65,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-60,1,1,14-15-92-00-12-91-bc-60,1,8,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-ce-d3,11,100,-56,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b8-c6,11,100,-54,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-bc-63,11,100,-61,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c6-25,11,100,-67,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-c2-86,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-b3-20,11,100,-64,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
2015-04-08_22.03.08,14-15-92-00-12-91-cc-61,11,100,-68,1,1,14-15-92-00-12-91-bc-60,1,9,10,0,100,100,0x0a
